recall_at	dataset	method	point	recall	qps
10	nq	hnsw	10	0.5475	1537.58
10	nq	hnsw	20	0.7075	997.314
10	nq	hnsw	30	0.771	754.689
10	nq	hnsw	50	0.8325	519.277
10	nq	hnsw	80	0.8742	358.443
10	nq	hnsw	100	0.8903	294.277
10	nq	sindi	100	0.6295	516.015
10	nq	sindi	150	0.6675	475.489
10	nq	sindi	200	0.6901	439.974
10	nq	sindi	300	0.72	385.818
10	nq	sindi	500	0.7599	306.718
10	nq	sindi	1000	0.7999	207.403
10	nq	hnsw_sindi	10	0.7212	408.78
10	nq	hnsw_sindi	15	0.8122	378.809
10	nq	hnsw_sindi	20	0.8597	354.212
10	nq	hnsw_sindi	30	0.9095	316.232
10	nq	hnsw_sindi	50	0.9485	260.528
10	nq	hnsw_sindi	100	0.9771	183.586
10	nq	fhg	10	0.5255	950.535
10	nq	fhg	20	0.6893	644.474
10	nq	fhg	30	0.7642	507.332
10	nq	fhg	50	0.8346	371.449
10	nq	fhg	80	0.8855	279.943
10	nq	fhg	100	0.9068	239.612
10	nq	uhg	10	0.833	597.103
10	nq	uhg	20	0.9062	467.036
10	nq	uhg	30	0.9308	387.834
10	nq	uhg	50	0.9564	288.909
10	nq	uhg	80	0.971	211.457
10	nq	uhg	100	0.9777	180.155
10	hotpotqa	hnsw	10	0.4142	1071.99
10	hotpotqa	hnsw	20	0.5699	724.428
10	hotpotqa	hnsw	30	0.6578	543.171
10	hotpotqa	hnsw	50	0.7379	366.818
10	hotpotqa	hnsw	80	0.8045	248.799
10	hotpotqa	hnsw	100	0.8309	204.606
10	hotpotqa	sindi	100	0.8047	349.933
10	hotpotqa	sindi	150	0.8387	327.516
10	hotpotqa	sindi	200	0.8604	312.194
10	hotpotqa	sindi	300	0.8854	282.423
10	hotpotqa	sindi	500	0.9115	237.341
10	hotpotqa	sindi	1000	0.9371	169.8
10	hotpotqa	hnsw_sindi	10	0.6889	278.013
10	hotpotqa	hnsw_sindi	15	0.7839	260.745
10	hotpotqa	hnsw_sindi	20	0.8375	244.451
10	hotpotqa	hnsw_sindi	30	0.8959	217.656
10	hotpotqa	hnsw_sindi	50	0.9373	179.954
10	hotpotqa	hnsw_sindi	100	0.9748	126.695
10	hotpotqa	fhg	10	0.4933	724.568
10	hotpotqa	fhg	20	0.6498	466.847
10	hotpotqa	fhg	30	0.7189	359.197
10	hotpotqa	fhg	50	0.7979	258.386
10	hotpotqa	fhg	80	0.8474	186.653
10	hotpotqa	fhg	100	0.8713	157.683
10	hotpotqa	uhg	10	0.7619	437.811
10	hotpotqa	uhg	20	0.8634	340.272
10	hotpotqa	uhg	30	0.9	279.444
10	hotpotqa	uhg	50	0.9331	205.647
10	hotpotqa	uhg	80	0.9591	148.313
10	hotpotqa	uhg	100	0.9673	125.353
10	msmarco	hnsw	10	0.5317	1926.66
10	msmarco	hnsw	20	0.7268	1394.26
10	msmarco	hnsw	30	0.7995	1096.85
10	msmarco	hnsw	50	0.8675	779.035
10	msmarco	hnsw	80	0.9084	549.455
10	msmarco	hnsw	100	0.9222	453.914
10	msmarco	sindi	100	0.6897	456.967
10	msmarco	sindi	150	0.7305	425.344
10	msmarco	sindi	200	0.7525	394.952
10	msmarco	sindi	300	0.779	352.474
10	msmarco	sindi	500	0.8065	289.758
10	msmarco	sindi	1000	0.8397	201.213
10	msmarco	hnsw_sindi	10	0.7119	385.457
10	msmarco	hnsw_sindi	15	0.816	372.275
10	msmarco	hnsw_sindi	20	0.8644	356.195
10	msmarco	hnsw_sindi	30	0.9101	330.084
10	msmarco	hnsw_sindi	50	0.9452	285.739
10	msmarco	hnsw_sindi	100	0.9738	219.386
10	msmarco	fhg	10	0.2484	1091.13
10	msmarco	fhg	20	0.3944	736.313
10	msmarco	fhg	30	0.4946	523.536
10	msmarco	fhg	50	0.6137	373.86
10	msmarco	fhg	80	0.7068	261.504
10	msmarco	fhg	100	0.7602	251.381
10	msmarco	uhg	10	0.7256	640.591
10	msmarco	uhg	20	0.8601	553.644
10	msmarco	uhg	30	0.9047	476.265
10	msmarco	uhg	50	0.9403	392.689
10	msmarco	uhg	80	0.9597	306.838
10	msmarco	uhg	100	0.9649	265.883
