recall_at	dataset	method	point	recall	qps
10	nq	hnsw	10	0.5507	1515.5
10	nq	hnsw	20	0.7115	991.235
10	nq	hnsw	30	0.7774	751.104
10	nq	hnsw	50	0.8397	513.15
10	nq	hnsw	80	0.8831	354.205
10	nq	hnsw	100	0.8996	294.22
10	nq	sindi	100	0.6277	511.041
10	nq	sindi	150	0.6656	471.252
10	nq	sindi	200	0.6886	437.05
10	nq	sindi	300	0.7194	378.005
10	nq	sindi	500	0.76	307.919
10	nq	sindi	1000	0.7998	206.185
10	nq	hnsw_sindi	10	0.7201	226.145
10	nq	hnsw_sindi	15	0.8106	318.35
10	nq	hnsw_sindi	20	0.8593	284.779
10	nq	hnsw_sindi	30	0.9102	225.396
10	nq	hnsw_sindi	50	0.9493	205.977
10	nq	hnsw_sindi	100	0.9786	123.805
10	nq	fhg	10	0.5438	946.017
10	nq	fhg	20	0.6965	640.262
10	nq	fhg	30	0.7667	503.713
10	nq	fhg	50	0.8411	371.838
10	nq	fhg	80	0.8895	277.113
10	nq	fhg	100	0.9141	235.279
10	nq	uhg	10	0.8308	545.789
10	nq	uhg	20	0.9036	433.786
10	nq	uhg	30	0.9297	402.216
10	nq	uhg	50	0.9563	299.761
10	nq	uhg	80	0.9709	217.593
10	nq	uhg	100	0.9774	170.571
10	hotpotqa	hnsw	10	0.4146	1134.45
10	hotpotqa	hnsw	20	0.5698	723.603
10	hotpotqa	hnsw	30	0.6589	543.565
10	hotpotqa	hnsw	50	0.7402	367.521
10	hotpotqa	hnsw	80	0.8082	248.735
10	hotpotqa	hnsw	100	0.8351	204.081
10	hotpotqa	sindi	100	0.8074	354.345
10	hotpotqa	sindi	150	0.8426	332.739
10	hotpotqa	sindi	200	0.8646	314.821
10	hotpotqa	sindi	300	0.8901	284.148
10	hotpotqa	sindi	500	0.9173	237.754
10	hotpotqa	sindi	1000	0.9427	171.424
10	hotpotqa	hnsw_sindi	10	0.6875	281.873
10	hotpotqa	hnsw_sindi	15	0.7833	260.495
10	hotpotqa	hnsw_sindi	20	0.8365	245.695
10	hotpotqa	hnsw_sindi	30	0.8953	217.72
10	hotpotqa	hnsw_sindi	50	0.9372	179.35
10	hotpotqa	hnsw_sindi	100	0.9756	126.86
10	hotpotqa	fhg	10	0.5008	720.25
10	hotpotqa	fhg	20	0.6527	469.451
10	hotpotqa	fhg	30	0.7203	365.58
10	hotpotqa	fhg	50	0.7976	258.173
10	hotpotqa	fhg	80	0.8477	182.918
10	hotpotqa	fhg	100	0.8683	158.037
10	hotpotqa	uhg	10	0.7588	431.324
10	hotpotqa	uhg	20	0.86	332.255
10	hotpotqa	uhg	30	0.8984	274.616
10	hotpotqa	uhg	50	0.9316	204.641
10	hotpotqa	uhg	80	0.9567	147.856
10	hotpotqa	uhg	100	0.9655	125.46
10	dbpedia-entity	hnsw	10	0.514561	1292.77
10	dbpedia-entity	hnsw	20	0.700857	849.95
10	dbpedia-entity	hnsw	30	0.774518	637.95
10	dbpedia-entity	hnsw	50	0.838972	431.365
10	dbpedia-entity	hnsw	80	0.879229	291.739
10	dbpedia-entity	hnsw	100	0.891006	237.275
10	dbpedia-entity	sindi	100	0.584582	756.77
10	dbpedia-entity	sindi	150	0.615846	673.325
10	dbpedia-entity	sindi	200	0.643683	608.051
10	dbpedia-entity	sindi	300	0.679015	511.098
10	dbpedia-entity	sindi	500	0.717773	390.764
10	dbpedia-entity	sindi	1000	0.76788	248.857
10	dbpedia-entity	hnsw_sindi	10	0.662955	523.267
10	dbpedia-entity	hnsw_sindi	15	0.7606	466.432
10	dbpedia-entity	hnsw_sindi	20	0.822484	419.724
10	dbpedia-entity	hnsw_sindi	30	0.877944	358.933
10	dbpedia-entity	hnsw_sindi	50	0.920557	278.434
10	dbpedia-entity	hnsw_sindi	100	0.956103	178.975
10	dbpedia-entity	fhg	10	0.659743	900.97
10	dbpedia-entity	fhg	20	0.760171	612.559
10	dbpedia-entity	fhg	30	0.822484	464.938
10	dbpedia-entity	fhg	50	0.862955	332.899
10	dbpedia-entity	fhg	80	0.895717	231.929
10	dbpedia-entity	fhg	100	0.907709	195.853
10	dbpedia-entity	uhg	10	0.777516	739.374
10	dbpedia-entity	uhg	20	0.867666	544.844
10	dbpedia-entity	uhg	30	0.905353	428.068
10	dbpedia-entity	uhg	50	0.935118	286.322
10	dbpedia-entity	uhg	80	0.956531	177.561
10	dbpedia-entity	uhg	100	0.965096	144.561
10	fever	hnsw	10	0.4962	1174.1
10	fever	hnsw	20	0.6585	758.972
10	fever	hnsw	30	0.7242	560.109
10	fever	hnsw	50	0.7952	374.639
10	fever	hnsw	80	0.8445	249.732
10	fever	hnsw	100	0.8622	204.794
10	fever	sindi	100	0.8863	317.596
10	fever	sindi	150	0.9098	297.91
10	fever	sindi	200	0.9229	283.094
10	fever	sindi	300	0.9374	257.934
10	fever	sindi	500	0.9554	217.844
10	fever	sindi	1000	0.9724	157.989
10	fever	hnsw_sindi	10	0.7694	239.073
10	fever	hnsw_sindi	15	0.8559	242.477
10	fever	hnsw_sindi	20	0.8962	230.235
10	fever	hnsw_sindi	30	0.9347	206.774
10	fever	hnsw_sindi	50	0.9621	172.214
10	fever	hnsw_sindi	100	0.9837	122.363
10	fever	fhg	10	0.2025	1390.91
10	fever	fhg	20	0.4121	618.732
10	fever	fhg	30	0.5494	401.396
10	fever	fhg	50	0.7178	255.488
10	fever	fhg	80	0.836	166.86
10	fever	fhg	100	0.8751	138.371
10	fever	uhg	10	0.8116	377.507
10	fever	uhg	20	0.8963	297.645
10	fever	uhg	30	0.9233	247.325
10	fever	uhg	50	0.9505	181.195
10	fever	uhg	80	0.9688	129.649
10	fever	uhg	100	0.9751	107.557
20	nq	hnsw	20	0.55535	1001.21
20	nq	hnsw	40	0.714	602.905
20	nq	hnsw	60	0.78055	448.718
20	nq	hnsw	100	0.84355	296.994
20	nq	hnsw	160	0.88795	200.46
20	nq	hnsw	200	0.9055	165.069
20	nq	sindi	200	0.63255	440.476
20	nq	sindi	300	0.67145	386.746
20	nq	sindi	400	0.69755	344.063
20	nq	sindi	600	0.73125	280.618
20	nq	sindi	1000	0.76905	207.266
20	nq	sindi	2000	0.8097	124.856
20	nq	hnsw_sindi	20	0.72455	284.445
20	nq	hnsw_sindi	30	0.82235	247.928
20	nq	hnsw_sindi	40	0.87105	188.136
20	nq	hnsw_sindi	60	0.9172	182.615
20	nq	hnsw_sindi	100	0.9535	138.151
20	nq	hnsw_sindi	200	0.98085	89.6285
20	nq	fhg	20	0.67395	642.468
20	nq	fhg	40	0.7967	426.138
20	nq	fhg	60	0.8459	327.092
20	nq	fhg	100	0.8991	233.773
20	nq	fhg	160	0.93115	165.349
20	nq	fhg	200	0.942	139.581
20	nq	uhg	20	0.86125	478.868
20	nq	uhg	40	0.91765	332.592
20	nq	uhg	60	0.94335	261.417
20	nq	uhg	100	0.96515	182.836
20	nq	uhg	160	0.97925	125.547
20	nq	uhg	200	0.98365	104.976
20	hotpotqa	hnsw	20	0.44425	733.346
20	hotpotqa	hnsw	40	0.60375	437.567
20	hotpotqa	hnsw	60	0.6831	316.011
20	hotpotqa	hnsw	100	0.7703	204.953
20	hotpotqa	hnsw	160	0.83075	135.363
20	hotpotqa	hnsw	200	0.85495	111.52
20	hotpotqa	sindi	200	0.77845	314.322
20	hotpotqa	sindi	300	0.81675	283.123
20	hotpotqa	sindi	400	0.8411	259.311
20	hotpotqa	sindi	600	0.86935	218.46
20	hotpotqa	sindi	1000	0.8995	170.328
20	hotpotqa	sindi	2000	0.9298	109.148
20	hotpotqa	hnsw_sindi	20	0.6967	246.91
20	hotpotqa	hnsw_sindi	30	0.7961	217.948
