dataset	alpha	method	param	recall	qps
nq	0.3	uhg	ef=100	0.70852	249.301
nq	0.3	uhg	ef=200	0.80555	148.382
nq	0.3	uhg	ef=300	0.84876	106.804
nq	0.3	uhg	ef=500	0.88981	69.537
nq	0.3	uhg	ef=1000	0.93078	37.7812
nq	0.3	uhgs	ef=100	0.8587	191.19
nq	0.3	uhgs	ef=200	0.92525	117.8
nq	0.3	uhgs	ef=300	0.94999	86.0754
nq	0.3	uhgs	ef=500	0.97215	56.6236
nq	0.3	uhgs	ef=1000	0.9881	31.1602
nq	0.7	uhg	ef=100	0.83657	368.699
nq	0.7	uhg	ef=200	0.90094	218.029
nq	0.7	uhg	ef=300	0.92621	155.113
nq	0.7	uhg	ef=500	0.95049	99.3243
nq	0.7	uhg	ef=1000	0.97128	53.1003
nq	0.7	uhgh	ef=100	0.92088	183.034
nq	0.7	uhgh	ef=200	0.96766	98.535
nq	0.7	uhgh	ef=300	0.98056	68.4759
nq	0.7	uhgh	ef=500	0.98995	43.375
nq	0.7	uhgh	ef=1000	0.99629	23.376
hotpotqa	0.3	uhg	ef=100	0.7185	180.25
hotpotqa	0.3	uhg	ef=200	0.8182	101.916
hotpotqa	0.3	uhg	ef=300	0.86226	71.9847
hotpotqa	0.3	uhg	ef=500	0.90226	45.8199
hotpotqa	0.3	uhg	ef=1000	0.94368	24.4733
hotpotqa	0.3	uhgs	ef=100	0.87405	133.147
hotpotqa	0.3	uhgs	ef=200	0.94235	81.7482
hotpotqa	0.3	uhgs	ef=300	0.96476	59.3856
hotpotqa	0.3	uhgs	ef=500	0.98146	38.9725
hotpotqa	0.3	uhgs	ef=1000	0.99235	21.5637
hotpotqa	0.7	uhg	ef=100	0.75359	262.224
hotpotqa	0.7	uhg	ef=200	0.84432	151.171
hotpotqa	0.7	uhg	ef=300	0.88338	107.537
hotpotqa	0.7	uhg	ef=500	0.91954	68.4773
hotpotqa	0.7	uhg	ef=1000	0.95338	36.6525
hotpotqa	0.7	uhgh	ef=100	0.86855	124.131
hotpotqa	0.7	uhgh	ef=200	0.9386	66.2624
hotpotqa	0.7	uhgh	ef=300	0.9606	46.0
hotpotqa	0.7	uhgh	ef=500	0.97757	29.0879
hotpotqa	0.7	uhgh	ef=1000	0.9898	15.7458
msmarco	0.3	uhg	ef=100	0.60859	352.76
msmarco	0.3	uhg	ef=200	0.78058	216.247
msmarco	0.3	uhg	ef=300	0.83852	158.461
msmarco	0.3	uhg	ef=500	0.88475	104.044
msmarco	0.3	uhg	ef=1000	0.93531	55.9786
msmarco	0.3	uhgs	ef=100	0.84324	258.924
msmarco	0.3	uhgs	ef=200	0.93378	173.557
msmarco	0.3	uhgs	ef=300	0.95701	129.727
msmarco	0.3	uhgs	ef=500	0.97395	86.0221
msmarco	0.3	uhgs	ef=1000	0.98582	46.4333
msmarco	0.7	uhg	ef=100	0.71973	446.396
msmarco	0.7	uhg	ef=200	0.82776	280.716
msmarco	0.7	uhg	ef=300	0.87373	209.034
msmarco	0.7	uhg	ef=500	0.91766	139.227
msmarco	0.7	uhg	ef=1000	0.94785	75.8583
msmarco	0.7	uhgh	ef=100	0.89581	281.529
msmarco	0.7	uhgh	ef=200	0.95958	153.559
msmarco	0.7	uhgh	ef=300	0.97206	105.86
msmarco	0.7	uhgh	ef=500	0.98176	65.7534
msmarco	0.7	uhgh	ef=1000	0.99137	34.053
fever	0.3	uhg	ef=100	0.74999	152.023
fever	0.3	uhg	ef=200	0.84634	86.6166
fever	0.3	uhg	ef=300	0.88567	61.1177
fever	0.3	uhg	ef=500	0.91851	38.8587
fever	0.3	uhg	ef=1000	0.94736	20.8366
fever	0.3	uhgs	ef=100	0.88925	121.612
fever	0.3	uhgs	ef=200	0.95268	73.6258
fever	0.3	uhgs	ef=300	0.97202	53.0482
fever	0.3	uhgs	ef=500	0.98593	34.3025
fever	0.3	uhgs	ef=1000	0.99462	18.6436
fever	0.7	uhg	ef=100	0.78775	222.358
fever	0.7	uhg	ef=200	0.86459	128.934
fever	0.7	uhg	ef=300	0.89759	79.0767
fever	0.7	uhg	ef=500	0.92821	56.9399
fever	0.7	uhg	ef=1000	0.95512	24.801
fever	0.7	uhgh	ef=100	0.88274	121.143
fever	0.7	uhgh	ef=200	0.94171	62.9379
fever	0.7	uhgh	ef=300	0.96199	42.9093
fever	0.7	uhgh	ef=500	0.97708	26.5453
fever	0.7	uhgh	ef=1000	0.98869	14.0466
dbpedia-entity	0.3	uhg	ef=100	0.75197	223.04
dbpedia-entity	0.3	uhg	ef=200	0.839572	125.314
dbpedia-entity	0.3	uhg	ef=300	0.872698	87.411
dbpedia-entity	0.3	uhg	ef=500	0.910086	54.4278
dbpedia-entity	0.3	uhg	ef=1000	0.94334	28.3749
dbpedia-entity	0.3	uhgs	ef=100	0.856531	200.117
dbpedia-entity	0.3	uhgs	ef=200	0.923319	112.944
dbpedia-entity	0.3	uhgs	ef=300	0.947537	78.4665
dbpedia-entity	0.3	uhgs	ef=500	0.965246	49.4224
dbpedia-entity	0.3	uhgs	ef=1000	0.982612	25.9398
dbpedia-entity	0.7	uhg	ef=100	0.82152	337.636
dbpedia-entity	0.7	uhg	ef=200	0.884433	191.042
dbpedia-entity	0.7	uhg	ef=300	0.911178	132.987
dbpedia-entity	0.7	uhg	ef=500	0.941499	83.6818
dbpedia-entity	0.7	uhg	ef=1000	0.965054	43.5975
dbpedia-entity	0.7	uhgh	ef=100	0.903105	148.773
dbpedia-entity	0.7	uhgh	ef=200	0.958501	78.6863
dbpedia-entity	0.7	uhgh	ef=300	0.972912	54.066
dbpedia-entity	0.7	uhgh	ef=500	0.983555	33.872
dbpedia-entity	0.7	uhgh	ef=1000	0.99227	17.8643
