dataset	method	param_name	param_value	recall	qps	source
nq	hnsw	point	100	0.53882	298.753	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	200	0.69836	166.625	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	300	0.76834	117.469	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	500	0.83628	75.1309	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	800	0.88376	49.6088	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	1000	0.90231	40.8505	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
nq	sindi	point	1000	0.63646	203.307	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/sindi.txt
nq	sindi	point	1500	0.67885	155.329	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/sindi.txt
nq	sindi	point	2000	0.70673	124.292	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/sindi.txt
nq	sindi	point	3000	0.74418	88.8863	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/sindi.txt
nq	sindi	point	5000	0.78898	56.8493	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/sindi.txt
nq	sindi	point	10000	0.84156	30.047	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/sindi.txt
nq	hnsw_sindi	point	100	0.72043	185.186	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	150	0.81982	144.441	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	200	0.87154	119.206	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	300	0.9221	89.1104	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	500	0.9596	60.1561	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw_sindi.txt
nq	fhg	ef_search	100	0.81535	242.337	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/fhg.txt
nq	fhg	ef_search	200	0.88285	143.975	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/fhg.txt
