dataset,alpha,num_queries,both,dense_only,sparse_only,neither
nq,0.0,1000,0.153140,0.000000,0.846860,0.000000
nq,0.3,1000,0.153140,0.203330,0.401380,0.242150
nq,0.5,1000,0.153140,0.392460,0.212940,0.241460
nq,0.7,1000,0.153140,0.595590,0.094890,0.156380
nq,1.0,1000,0.153140,0.846860,0.000000,0.000000
msmarco,0.0,1000,0.269550,0.000000,0.730450,0.000000
msmarco,0.3,1000,0.269550,0.207530,0.351820,0.171100
msmarco,0.5,1000,0.269550,0.364170,0.203920,0.162360
msmarco,0.7,1000,0.269550,0.519640,0.102520,0.108290
msmarco,1.0,1000,0.269550,0.730450,0.000000,0.000000
hotpotqa,0.0,1000,0.187770,0.000000,0.812230,0.000000
hotpotqa,0.3,1000,0.187760,0.159940,0.450480,0.201820
hotpotqa,0.5,1000,0.187770,0.312790,0.277350,0.222090
hotpotqa,0.7,1000,0.187760,0.504520,0.141550,0.166170
hotpotqa,1.0,1000,0.187770,0.812230,0.000000,0.000000
