dataset	method	param_name	param_value	recall	qps	source
nq	hnsw	point	20	0.55325	1014.92	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	40	0.70805	621.869	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	60	0.7729	452.665	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	100	0.8336	301.041	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	160	0.8774	203.142	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	200	0.89505	167.991	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw.txt
nq	sindi	point	200	0.6357	443.301	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/sindi.txt
nq	sindi	point	300	0.67395	388.044	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/sindi.txt
nq	sindi	point	400	0.6998	345.277	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/sindi.txt
nq	sindi	point	600	0.73355	283.037	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/sindi.txt
nq	sindi	point	1000	0.7704	208.147	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/sindi.txt
nq	sindi	point	2000	0.8107	125.318	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/sindi.txt
nq	hnsw_sindi	point	20	0.72595	349.546	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	30	0.82275	320.328	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	40	0.87035	288.257	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	60	0.91615	242.453	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	100	0.95135	186.721	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	200	0.9794	120.414	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/hnsw_sindi.txt
nq	fhg	ef_search	20	0.6692	518.798	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/fhg.txt
nq	fhg	ef_search	40	0.78945	363.218	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/fhg.txt
nq	fhg	ef_search	60	0.8461	287.047	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/nq/fhg.txt
