dataset	alpha	method	param	recall	qps
nq	0.3	uhg	ef=50	0.64728	405.307
nq	0.3	uhg	ef=100	0.76086	247.984
nq	0.3	uhg	ef=150	0.81618	185.588
nq	0.3	uhg	ef=250	0.86734	124.423
nq	0.3	uhg	ef=500	0.9171	69.2141
nq	0.3	uhgs	ef=50	0.85002	280.056
nq	0.3	uhgs	ef=100	0.91652	189.756
nq	0.3	uhgs	ef=150	0.94316	144.573
nq	0.3	uhgs	ef=250	0.96602	98.9149
nq	0.3	uhgs	ef=500	0.98508	56.366
nq	0.7	uhg	ef=50	0.81046	573.001
nq	0.7	uhg	ef=100	0.88618	371.119
nq	0.7	uhg	ef=150	0.91556	273.039
nq	0.7	uhg	ef=250	0.94386	181.764
nq	0.7	uhg	ef=500	0.96936	99.6013
nq	0.7	uhgh	ef=50	0.91748	330.404
nq	0.7	uhgh	ef=100	0.96358	181.873
nq	0.7	uhgh	ef=150	0.97852	127.181
nq	0.7	uhgh	ef=250	0.98824	80.5862
nq	0.7	uhgh	ef=500	0.9946	43.336
hotpotqa	0.3	uhg	ef=50	0.65198	301.634
hotpotqa	0.3	uhg	ef=100	0.76682	182.002
hotpotqa	0.3	uhg	ef=150	0.81864	130.21
hotpotqa	0.3	uhg	ef=250	0.87442	84.203
hotpotqa	0.3	uhg	ef=500	0.92156	45.7707
hotpotqa	0.3	uhgs	ef=50	0.86012	197.055
hotpotqa	0.3	uhgs	ef=100	0.93514	132.788
hotpotqa	0.3	uhgs	ef=150	0.95972	101.045
hotpotqa	0.3	uhgs	ef=250	0.97924	68.7359
hotpotqa	0.3	uhgs	ef=500	0.99178	38.9973
hotpotqa	0.7	uhg	ef=50	0.70398	434.329
hotpotqa	0.7	uhg	ef=100	0.80608	266.872
hotpotqa	0.7	uhg	ef=150	0.85246	193.653
hotpotqa	0.7	uhg	ef=250	0.89762	125.487
hotpotqa	0.7	uhg	ef=500	0.9397	68.2439
hotpotqa	0.7	uhgh	ef=50	0.83226	225.699
hotpotqa	0.7	uhgh	ef=100	0.91574	123.101
hotpotqa	0.7	uhgh	ef=150	0.94488	85.8084
hotpotqa	0.7	uhgh	ef=250	0.96844	54.1353
hotpotqa	0.7	uhgh	ef=500	0.98482	29.0781
msmarco	0.3	uhg	ef=100	0.66074	350.735
msmarco	0.3	uhg	ef=150	0.75596	265.36
msmarco	0.3	uhg	ef=250	0.8328	181.942
msmarco	0.3	uhg	ef=500	0.89592	103.586
msmarco	0.3	uhgs	ef=50	0.81798	334.816
msmarco	0.3	uhgs	ef=100	0.91926	257.467
msmarco	0.3	uhgs	ef=150	0.9474	207.378
msmarco	0.3	uhgs	ef=250	0.96882	149.076
msmarco	0.3	uhgs	ef=500	0.98252	86.6322
msmarco	0.7	uhg	ef=50	0.60164	677.681
msmarco	0.7	uhg	ef=100	0.76214	442.828
msmarco	0.7	uhg	ef=150	0.81548	345.271
msmarco	0.7	uhg	ef=250	0.87746	239.825
msmarco	0.7	uhg	ef=500	0.9324	138.419
msmarco	0.7	uhgh	ef=50	0.87972	484.72
msmarco	0.7	uhgh	ef=100	0.95026	279.493
msmarco	0.7	uhgh	ef=150	0.96594	197.599
msmarco	0.7	uhgh	ef=250	0.97894	125.195
msmarco	0.7	uhgh	ef=500	0.98802	65.7193
fever	0.3	uhg	ef=50	0.66546	261.893
fever	0.3	uhg	ef=100	0.80828	153.375
fever	0.3	uhg	ef=150	0.8562	111.082
fever	0.3	uhg	ef=250	0.90168	71.856
fever	0.3	uhg	ef=500	0.94154	38.9807
fever	0.3	uhgs	ef=50	0.88536	172.486
fever	0.3	uhgs	ef=100	0.9514	119.379
fever	0.3	uhgs	ef=150	0.97048	90.7983
fever	0.3	uhgs	ef=250	0.98498	55.6972
fever	0.3	uhgs	ef=500	0.99434	27.5815
fever	0.7	uhg	ef=50	0.74498	366.909
fever	0.7	uhg	ef=100	0.84592	226.79
fever	0.7	uhg	ef=150	0.8807	162.316
fever	0.7	uhg	ef=250	0.91728	106.551
fever	0.7	uhg	ef=500	0.95016	57.0942
fever	0.7	uhgh	ef=50	0.86316	228.894
fever	0.7	uhgh	ef=100	0.93198	120.848
fever	0.7	uhgh	ef=150	0.95392	82.7132
fever	0.7	uhgh	ef=250	0.97098	50.9266
fever	0.7	uhgh	ef=500	0.98544	23.4413
